# Radiation correction v2.3. Params: lat=41.5178, lon=1.4944, utc_time=2021-07-25 20:19
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
3120, 635.78, 0.73, 95.0, 17.18, 266.8
3140, 634.21, 0.64, 95.1, 17.12, 267.9
3160, 632.63, 0.04, 94.6, 17.06, 270.0
3180, 631.06, -0.56, 93.9, 16.99, 271.5
3200, 629.50, -0.77, 93.7, 16.78, 271.4
3220, 627.93, -0.97, 93.7, 16.43, 273.2
3240, 626.37, -1.17, 93.7, 16.08, 275.0
3260, 624.81, -1.37, 93.8, 15.73, 276.7
3280, 623.25, -1.57, 93.8, 15.39, 278.5
3300, 621.70, -1.52, 94.1, 15.25, 280.2
3320, 620.15, -1.36, 94.6, 15.38, 281.0
3340, 618.61, -1.19, 95.2, 15.41, 279.8
3360, 617.07, -1.10, 95.7, 15.74, 277.7
3380, 615.53, -1.13, 96.2, 15.99, 276.6
3400, 614.00, -1.21, 96.6, 16.24, 277.9
3420, 612.47, -1.27, 96.7, 16.11, 278.9
3440, 610.94, -1.34, 96.8, 15.90, 280.3
3460, 609.42, -1.47, 96.9, 15.74, 282.4
3480, 607.90, -1.67, 96.9, 15.64, 283.2
3500, 606.39, -1.86, 96.9, 15.66, 283.2
3520, 604.87, -1.96, 96.9, 15.77, 283.2
3540, 603.36, -2.02, 96.9, 15.98, 287.5
3560, 601.86, -2.08, 97.0, 16.18, 292.9
3580, 600.35, -2.16, 97.1, 15.97, 288.1
3600, 598.85, -2.32, 97.1, 14.69, 285.6
3620, 597.35, -2.50, 97.1, 13.37, 282.4
3640, 595.86, -2.63, 97.0, 13.11, 284.1
3660, 594.37, -2.78, 97.0, 13.24, 289.1
3680, 592.88, -2.94, 97.0, 13.51, 294.4
3700, 591.39, -3.07, 96.9, 13.73, 296.0
3720, 589.91, -3.19, 96.9, 13.11, 294.4
3740, 588.43, -3.32, 96.9, 12.52, 292.2
3760, 586.95, -3.44, 96.9, 11.89, 291.1
3780, 585.48, -3.54, 96.9, 11.75, 292.0
3800, 584.01, -3.65, 96.9, 11.70, 292.5
3820, 582.54, -3.78, 96.9, 11.61, 292.3
3840, 581.07, -3.91, 96.9, 11.51, 292.1
3860, 579.61, -4.03, 96.8, 11.41, 291.9
3880, 578.15, -4.16, 96.8, 11.32, 291.6
3900, 576.70, -4.29, 96.8, 11.22, 291.4
3920, 575.24, -4.41, 96.8, 11.12, 291.2
3940, 573.79, -4.54, 96.8, 11.03, 291.0
3960, 572.35, -4.66, 96.8, 10.93, 290.8
3980, 570.90, -4.79, 96.8, 10.83, 290.5
4000, 569.46, -4.92, 96.7, 10.74, 290.3
4020, 568.02, -5.04, 96.7, 10.64, 290.1
4040, 566.59, -5.17, 96.7, 10.54, 289.9
4060, 565.15, -5.29, 96.7, 10.45, 289.7
4080, 563.73, -5.42, 96.7, 10.35, 289.4
4100, 562.30, -5.55, 96.7, 10.25, 289.2
4120, 560.88, -5.67, 96.7, 10.15, 289.0
4140, 559.45, -5.80, 96.6, 10.06, 288.8
4160, 558.04, -5.92, 96.6, 9.96, 288.6
4180, 556.62, -6.05, 96.6, 9.86, 288.3
4200, 555.21, -6.18, 96.6, 9.77, 288.1
4220, 553.80, -6.30, 96.6, 9.67, 287.9
4240, 552.39, -6.43, 96.6, 9.57, 287.7
4260, 550.99, -6.55, 96.6, 9.48, 287.5
4280, 549.59, -6.67, 96.5, 9.44, 287.6
4300, 548.19, -6.79, 96.5, 9.43, 287.8
4320, 546.80, -6.91, 96.5, 9.42, 288.1
4340, 545.41, -7.02, 96.5, 9.41, 288.3
4360, 544.02, -7.14, 96.5, 9.40, 288.6
4380, 542.63, -7.26, 96.5, 9.39, 288.8
4400, 541.25, -7.37, 96.5, 9.38, 289.1
4420, 539.87, -7.49, 96.6, 9.37, 289.3
4440, 538.49, -7.60, 96.5, 9.36, 289.5
4460, 537.12, -7.72, 96.5, 9.35, 289.8
4480, 535.75, -7.84, 96.5, 9.34, 290.0
4500, 534.38, -7.95, 96.5, 9.35, 290.3
4520, 533.01, -8.07, 96.5, 9.34, 290.5
4540, 531.65, -8.19, 96.5, 9.33, 290.8
4560, 530.29, -8.31, 96.5, 9.31, 289.5
4580, 528.93, -8.45, 96.5, 9.18, 278.4
4600, 527.58, -8.56, 96.5, 8.99, 277.8
4620, 526.23, -8.69, 96.5, 8.86, 278.3
4640, 524.88, -8.82, 96.6, 8.74, 276.5
4660, 523.53, -8.96, 96.6, 8.79, 274.4
4680, 522.19, -9.10, 96.6, 8.72, 273.9
4700, 520.85, -9.25, 96.5, 8.60, 272.8
4720, 519.51, -9.39, 96.5, 8.23, 268.0
4740, 518.17, -9.54, 96.5, 7.94, 261.0
4760, 516.84, -9.68, 96.5, 7.68, 254.9
4780, 515.51, -9.83, 96.5, 7.42, 253.1
4800, 514.18, -10.00, 96.5, 6.99, 253.1
4820, 512.86, -10.14, 96.5, 6.50, 248.3
4840, 511.54, -10.30, 96.5, 5.99, 243.5
4860, 510.22, -10.48, 96.5, 5.53, 244.0
4880, 508.90, -10.64, 96.5, 5.50, 242.9
4900, 507.59, -10.79, 96.5, 5.39, 238.0
4920, 506.27, -10.95, 96.5, 5.31, 233.0
4940, 504.97, -11.14, 96.5, 5.09, 231.4
4960, 503.66, -11.28, 96.5, 4.85, 238.1
4980, 502.35, -11.36, 96.5, 4.66, 244.2
5000, 501.05, -11.43, 96.5, 4.59, 233.4
